"power","category","num_males","num_females","num_other","diff","per_males","per_females","perdiffMF","sig","definition"
"Strength","Enhanced physical abilities",3938,1195,331,7.689358,28.33909,20.649732,27.133398,"y","Super-human strength: Strength beyond what is humanly possible. i.e. Superman"
"Agility","Enhanced physical abilities",2571,1460,83,-6.727234,18.501727,25.228961,-36.360034,"y","Agility beyond what is humanly, or normally, possible"
"Stamina","Enhanced physical abilities",2853,1006,120,3.147297,20.531088,17.383791,15.329421,"y","Ability to sustain prolonged physical or mental effort"
"Berserker Strength","Enhanced physical abilities",662,115,57,2.776748,4.763961,1.987213,58.286544,"y","Frenzied, violent and/or destructive strength. i.e. Hulk"
"Super Eating","Enhanced physical abilities",121,24,40,0.456031,0.870754,0.414723,52.372017,"y","Ability to eat massive quantities without ill effect. i.e. Killer Croc"
"Siphon Abilities","Enhanced physical abilities",182,53,26,0.393883,1.309729,0.915846,30.073659,"y","Ability to absorb others' life-force, memories, abilities, powers, etc. i.e. Rogue"
"Longevity","Enhanced physical abilities",1126,466,79,0.050519,8.103051,8.052532,0.623465,"y","Ability to live longer than average, but not necessarily immortal"
"Gadgets","Objects",2148,556,88,5.849945,15.457686,9.607741,37.84489,"y","Possession of artifacts (either ordinary or mystical in nature) that can be both technological or magical. i.e. Batman"
"Power Suit","Objects",994,218,52,3.386074,7.153138,3.767064,47.336899,"y","Use of a power suit that provides enhanced abilities. i.e. Iron Man"
"Power Item","Objects",962,306,46,1.635141,6.922855,5.287714,23.619468,"y","Possession of artifacts (either ordinary or mystical in nature) that can be both technological or magical. i.e. Thor"
"Implants","Objects",446,99,21,1.498826,3.209557,1.710731,46.69884,"y","Use of objects implanted or inserted in the body that provide powers or enhanced abilities"
"Insanely Rich","Objects",945,309,5,1.460964,6.800518,5.339554,21.483127,"y","Possession of almost limitless wealth. i.e. Batman (Bruce Wayne)"
"Invulnerability","Supernatural physical abilities",2125,558,217,5.649868,15.29217,9.642302,36.946153,"y","Impossible to harm; immune to all forms of physical damage. i.e. Superman"
"Flight","Supernatural physical abilities",2197,1082,233,-2.886775,15.810305,18.69708,-18.258816,"y","Ability to fly. i.e. Superman"
"Feral","Supernatural physical abilities",541,164,44,1.059269,3.893207,2.833938,27.208125,"y","Abilities resemble a more 'wild' form of the species. Often exhibit greater survival instinct.s i.e. Wolverine"
"Adaptive","Supernatural physical abilities",569,184,80,0.915164,4.094704,3.17954,22.349925,"y","Ability to adapt to anything and quickly evolves. i.e. The Fury"
"Pheromone Control","Supernatural physical abilities",20,42,3,-0.581839,0.143926,0.725765,-404.261275,"y","Ability to generate and control pheromones, which may affect emotional and physical states such as inducing sleep, fear, happiness, and pleasure. i.e. Spider Woman"
"Matter Absorption","Supernatural physical abilities",123,19,33,0.556825,0.885147,0.328322,62.90761,"y","Ability to absorb matter and utilize it in some way. i.e. Martian Manhunter"
"Sonic Scream","Supernatural physical abilities",71,52,6,-0.387628,0.510938,0.898566,-75.86577,"y","Ability to emit highly enhanced scream of a high amplitude. i.e. Black Canary"
